154.64.225.139:30371#官方优选_™️【请勿测速】
202.5.28.47:15829#官方优选_™️【请勿测速】
gg.jishuge.eu.org:2083#官方优选_™️【请勿测速】
47.76.63.14:587#FREE_HK03
211.221.126.198:50000#🇰🇷 韩国-383
211.223.170.118:50000#🇰🇷 韩国-388
221.153.216.221:50000#🇰🇷 韩国-500
112.185.201.89:50000#🇰🇷 韩国-22
121.143.32.85:50000#🇰🇷 韩国-117
220.84.83.77:50000#🇰🇷 韩国-466
119.192.167.123:10000#🇰🇷 韩国-63
211.220.65.104:50000#🇰🇷 韩国-382
175.192.120.147:50000#🇰🇷 韩国-250
211.219.22.172:50000#🇰🇷 韩国-373
121.162.208.57:50000#🇰🇷 韩国-158
211.222.248.186:50000#🇰🇷 韩国-385
218.154.32.249:50000#🇰🇷 韩国-429
121.147.229.1:50000#🇰🇷 韩国-121
118.40.208.147:50000#🇰🇷 韩国-49
14.52.132.109:50000#🇰🇷 韩国-232
183.100.116.217:50000#🇰🇷 韩国-289
222.102.71.32:50000#🇰🇷 韩国-524
118.34.67.231:50000#🇰🇷 韩国-44
183.98.150.78:50000#🇰🇷 韩国-314
112.167.75.252:50000#🇰🇷 韩国-10
121.137.42.14:50000#🇰🇷 韩国-109
121.170.69.118:50000#🇰🇷 韩国-164
119.201.99.189:50000#🇰🇷 韩国-88
210.95.134.220:50000#🇰🇷 韩国-338
118.45.133.245:50000#🇰🇷 韩国-60
125.138.155.154:50000#🇰🇷 韩国-209
118.41.53.218:50000#🇰🇷 韩国-53
61.81.13.82:50000#🇰🇷 韩国-650
119.199.25.238:50000#🇰🇷 韩国-83
119.197.79.119:50000#🇰🇷 韩国-78
218.151.43.163:50000#🇰🇷 韩国-420
183.100.192.53:50000#🇰🇷 韩国-290
121.158.27.207:50000#🇰🇷 韩国-148
59.10.226.6:50000#🇰🇷 韩国-592
59.17.54.158:50000#🇰🇷 韩国-604
121.163.248.127:50000#🇰🇷 韩国-159
175.195.223.247:50000#🇰🇷 韩国-256
222.119.143.202:50000#🇰🇷 韩国-564
121.180.41.104:29999#🇰🇷 韩国-172
222.109.243.98:50000#🇰🇷 韩国-540
61.81.26.125:50000#🇰🇷 韩国-652
121.139.227.25:50000#🇰🇷 韩国-113
61.79.90.39:50000#🇰🇷 韩国-646
211.217.156.78:50000#🇰🇷 韩国-362
118.43.103.209:50000#🇰🇷 韩国-56
220.80.121.210:50000#🇰🇷 韩国-448
61.79.33.25:50000#🇰🇷 韩国-644
220.80.128.180:50000#🇰🇷 韩国-449
220.84.67.157:50000#韩🇰🇷 韩国-465
119.193.217.56:50000#🇰🇷 韩国-69
59.17.187.108:50000#🇰🇷 韩国-602
59.25.243.240:50000#🇰🇷 韩国-619
211.105.161.16:50000#🇰🇷 韩国-347
221.163.174.73:50030#🇰🇷 韩国-512
222.113.24.84:50000#🇰🇷 韩国-545
118.45.229.142:50000#🇰🇷 韩国-61
175.212.237.31:10030#🇰🇷 韩国-283
221.151.70.126:50000#🇰🇷 韩国-495
168.126.205.5:50000#🇰🇷 韩国-246
61.42.88.91:50000#🇰🇷 韩国-638
222.104.23.36:23456#🇰🇷 韩国-532
183.104.84.245:50000#🇰🇷 韩国-298
211.252.12.227:50000#🇰🇷 韩国-396
119.201.255.245:50000#🇰🇷 韩国-87
112.166.90.4:50000#🇰🇷 韩国-6
183.108.70.184:50000#🇰🇷 韩国-307
175.206.85.15:10035#🇰🇷 韩国-275
211.220.12.202:50000#🇰🇷 韩国-377
124.153.224.120:50000#🇰🇷 韩国-195
221.151.78.181:50000#🇰🇷 韩国-496
183.105.58.236:50000#🇰🇷 韩国-301
211.218.1.169:50000#🇰🇷 韩国-366
211.252.108.75:50000#🇰🇷 韩国-395
59.1.22.30:50000#🇰🇷 韩国-591
222.109.133.112:50000#🇰🇷 韩国-538
183.105.48.110:50000#🇰🇷 韩国-300
175.214.162.251:50000#🇰🇷 韩国-285
112.187.81.64:11434#🇰🇷 韩国-28
220.94.179.140:50000#🇰🇷 韩国-484
222.114.57.191:50000#🇰🇷 韩国-555
14.51.32.22:50000#🇰🇷 韩国-231
61.85.76.39:50000#🇰🇷 韩国-671
175.192.27.197:16992#🇰🇷 韩国-251
59.28.108.42:50000#🇰🇷 韩国-627
121.137.109.143:50000#🇰🇷 韩国-108
221.167.3.108:50000#🇰🇷 韩国-519
183.109.100.130:50000#🇰🇷 韩国-308
59.11.50.246:50000#🇰🇷 韩国-594
121.142.210.114:50000#🇰🇷 韩国-114
222.109.29.179:50000#🇰🇷 韩国-541
221.145.101.165:50000#🇰🇷 韩国-491
183.102.27.216:50000#🇰🇷 韩国-292
121.128.250.7:50000#🇰🇷 韩国-100
221.153.174.159:50000#🇰🇷 韩国-499
218.154.47.250:50000#🇰🇷 韩国-430
175.195.190.163:50000#🇰🇷 韩国-255
119.192.170.203:50000#🇰🇷 韩国-64
118.42.241.55:50000#🇰🇷 韩国-55
211.219.241.28:31337#🇰🇷 韩国-374
121.131.180.71:50000#🇰🇷 韩国-103
61.85.119.243:50000#🇰🇷 韩国-667
203.228.1.168:50000#🇰🇷 韩国-320
211.220.52.226:50000#🇰🇷 韩国-380
210.101.111.224:50000#🇰🇷 韩国-323
220.94.70.154:50000#🇰🇷 韩国-486
222.114.184.195:50000#🇰🇷 韩国-551
222.119.15.241:50000#🇰🇷 韩国-566
61.83.5.216:50000#🇰🇷 韩国-660
61.76.198.73:50000#🇰🇷 韩国-641
61.82.237.110:50000#🇰🇷 韩国-656
210.223.26.209:50000#🇰🇷 韩国-334
121.144.213.249:50000#🇰🇷 韩国-118
222.116.131.38:50000#🇰🇷 韩国-558
59.15.216.47:50000#🇰🇷 韩国-601
119.195.242.4:50000#🇰🇷 韩国-72
211.38.103.79:50000#🇰🇷 韩国-404
61.80.126.141:50000#🇰🇷 韩国-647
125.134.145.86:50000#🇰🇷 韩国-203
117.20.214.102:50000#🇰🇷 韩国-38
211.219.199.21:50000#🇰🇷 韩国-372
61.85.232.118:50000#🇰🇷 韩国-668
121.190.166.239:50000#🇰🇷 韩国-184
119.197.140.176:50000#🇰🇷 韩国-75
119.193.48.116:50000#🇰🇷 韩国-70
218.156.68.67:50000#🇰🇷 韩国-432
121.88.107.1:50000#🇰🇷 韩国-188
61.84.60.202:50000#🇰🇷 韩国-665
222.116.112.169:50000#🇰🇷 韩国-557
119.199.217.158:50000#🇰🇷 韩国-81
118.44.88.88:50000#🇰🇷 韩国-59
222.105.5.151:50000#🇰🇷 韩国-535
121.172.41.89:50000#🇰🇷 韩国-166
175.207.201.231:50000#🇰🇷 韩国-276
121.153.94.6:50000#🇰🇷 韩国-140
222.114.215.70:50000#🇰🇷 韩国-553
211.227.123.151:14534#🇰🇷 韩国-390
203.166.211.45:50000#🇰🇷 韩国-319
58.76.172.250:50000#🇰🇷 韩国-588
14.32.158.138:20332#🇰🇷 韩国-214
121.148.1.50:50000#🇰🇷 韩国-124
112.187.98.56:50000#🇰🇷 韩国-29
49.143.3.183:50000#🇰🇷 韩国-583
222.98.14.140:50000#🇰🇷 韩国-574
175.208.88.111:50000#🇰🇷 韩国-278
222.99.156.159:19888#技术宅_日本
121.163.116.208:32400#技术宅_日本
45.32.59.97:34567#技术宅_日本
117.123.237.115:10030#技术宅_日本
101.111.31.153:10554#技术宅_日本
121.163.116.208:32400#日本_32
175.196.105.220:14534#日本_70
121.173.15.62:10250#日本_35
175.199.96.203:13666#日本_76
121.150.34.236:10255#日本_28
8.218.6.192:10002#FREE_HK_01
47.76.109.41:1024#FREE_HK_05
8.219.254.209:41101#FREE_SG_02
8.222.143.82:24245#FREE_SG_03
47.236.119.190:51342#FREE_SG_04
47.236.246.163:14108#FREE_SG_05
47.238.72.170:30001#FREE_SG_06
85.237.206.205:12678#FREE_TW_04
220.84.213.25:12153#FREE_KR_04
185.225.200.54:2096#FREE_PL_02
83.147.14.92:9527#FREE_TR_01
213.142.150.38:1000#FREE_TR_03
